"","date","symbol","exdate","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility"
"1","2026-02-18","SPY",2026-02-18,"C",595,89.7,92.37,1,1,1.63476745117187
"2","2026-02-18","SPY",2026-02-18,"C",600,84.7,87.46,2,2,1.58203333984375
"3","2026-02-18","SPY",2026-02-18,"C",605,79.7,82.37,3,3,1.47802995361328
"4","2026-02-18","SPY",2026-02-18,"C",615,69.67,72.46,2,40,1.34424156005859
"5","2026-02-18","SPY",2026-02-18,"C",625,59.67,62.38,33,2,1.16699635253906
"6","2026-02-18","SPY",2026-02-18,"C",640,44.68,47.48,7,48,0.948730981445312
"7","2026-02-18","SPY",2026-02-18,"C",645,39.68,42.38,2,2,0.848390187988281
"8","2026-02-18","SPY",2026-02-18,"C",650,34.68,37.37,33,17,0.765383205566406
"9","2026-02-18","SPY",2026-02-18,"C",655,30.93,31.03,7,31,1e-05
"10","2026-02-18","SPY",2026-02-18,"C",660,26.02,26.13,31,83,1e-05
"11","2026-02-18","SPY",2026-02-18,"C",661,25.02,25.11,3,3,1e-05
"12","2026-02-18","SPY",2026-02-18,"C",662,23.96,24.12,1,15,1e-05
"13","2026-02-18","SPY",2026-02-18,"C",663,22.92,23.03,42,21,1e-05
"14","2026-02-18","SPY",2026-02-18,"C",664,22.02,22.13,30,33,1e-05
"15","2026-02-18","SPY",2026-02-18,"C",665,20.93,21.03,29,81,1e-05
"16","2026-02-18","SPY",2026-02-18,"C",666,19.93,20.03,219,334,1e-05
"17","2026-02-18","SPY",2026-02-18,"C",667,18.93,19.03,38,33,1e-05
"18","2026-02-18","SPY",2026-02-18,"C",668,18,18.1,227,216,1e-05
"19","2026-02-18","SPY",2026-02-18,"C",669,17,17.09,44,16,1e-05
"20","2026-02-18","SPY",2026-02-18,"C",670,15.94,16.05,328,224,1e-05
"21","2026-02-18","SPY",2026-02-18,"C",671,15,15.11,153,118,1e-05
"22","2026-02-18","SPY",2026-02-18,"C",672,14.01,14.05,231,103,1e-05
"23","2026-02-18","SPY",2026-02-18,"C",673,12.97,13.12,241,222,1e-05
"24","2026-02-18","SPY",2026-02-18,"C",674,12.01,12.13,758,549,1e-05
"25","2026-02-18","SPY",2026-02-18,"C",675,11.02,11.12,980,1242,1e-05
"26","2026-02-18","SPY",2026-02-18,"C",676,9.93,10.05,506,897,1e-05
"27","2026-02-18","SPY",2026-02-18,"C",677,8.93,9.05,902,1661,1e-05
"28","2026-02-18","SPY",2026-02-18,"C",678,7.93,8.05,650,2122,1e-05
"29","2026-02-18","SPY",2026-02-18,"C",679,6.93,7.05,2317,1657,1e-05
"30","2026-02-18","SPY",2026-02-18,"C",680,6.02,6.12,8013,4862,1e-05
"31","2026-02-18","SPY",2026-02-18,"C",681,4.94,5.05,8158,5658,1e-05
"32","2026-02-18","SPY",2026-02-18,"C",682,4.01,4.11,8929,2838,1e-05
"33","2026-02-18","SPY",2026-02-18,"C",683,3.02,3.11,28650,4545,1e-05
"34","2026-02-18","SPY",2026-02-18,"C",684,1.99,2.15,100411,5121,1e-05
"35","2026-02-18","SPY",2026-02-18,"C",685,0.95,1.14,205826,7877,1e-05
"36","2026-02-18","SPY",2026-02-18,"C",686,0.18,0.19,275972,5549,1e-05
"37","2026-02-18","SPY",2026-02-18,"C",687,0.01,0.02,323469,6381,0.0144141528320313
"38","2026-02-18","SPY",2026-02-18,"C",688,0,0.01,418785,5117,0.02540037109375
"39","2026-02-18","SPY",2026-02-18,"C",689,0,0.01,447577,6551,0.03711900390625
"40","2026-02-18","SPY",2026-02-18,"C",690,0,0.01,347757,11323,0.047861083984375
"41","2026-02-18","SPY",2026-02-18,"C",691,0,0.01,163247,8384,0.0586031640625
"42","2026-02-18","SPY",2026-02-18,"C",692,0,0.01,130321,4930,0.070321796875
"43","2026-02-18","SPY",2026-02-18,"C",693,0,0.01,75147,4246,0.08008732421875
"44","2026-02-18","SPY",2026-02-18,"C",694,0,0.01,31947,5643,0.0898528515625
"45","2026-02-18","SPY",2026-02-18,"C",695,0,0.01,11572,4782,0.101571484375
"46","2026-02-18","SPY",2026-02-18,"C",696,0,0.01,10666,3726,0.10938390625
"47","2026-02-18","SPY",2026-02-18,"C",697,0,0.01,394,6527,0.1211025390625
"48","2026-02-18","SPY",2026-02-18,"C",698,0,0.01,430,2646,0.1289149609375
"49","2026-02-18","SPY",2026-02-18,"C",699,0,0.01,489,2486,0.14063359375
